Date,Day of week,Month,Season,Total Hospital Beds,Beds Occupied,Occupancy Rate (%),Daily Admissions,Daily Discharges,Emergency Admissions,ICU Admissions,Department,Public Holiday Indicator,Special Event Indicator,Staff Availability,Average Length of Stay,Year,net_bed_change
2020-03-19,Thursday,March,Spring,322,276,85.71,74,71,29,4,Orthopedics,No,No,95,4.5,2020,3
2020-03-20,Friday,March,Spring,406,272,67.0,80,72,37,14,Maternity,No,No,91,2.3,2020,8
2020-03-21,Saturday,March,Spring,283,200,70.67,97,103,37,17,Surgery,No,Yes,72,7.3,2020,-6
2020-03-22,Sunday,March,Spring,440,334,75.91,90,83,45,11,Cardiology,No,No,98,5.7,2020,7
2020-03-23,Monday,March,Spring,436,283,64.91,25,30,8,1,Maternity,No,No,84,1.7,2020,-5
2020-03-24,Tuesday,March,Spring,290,205,70.69,31,29,8,2,Maternity,No,No,96,2.4,2020,2
2020-03-25,Wednesday,March,Spring,254,175,68.9,34,33,9,4,Orthopedics,No,No,87,5.6,2020,1
2020-03-26,Thursday,March,Spring,358,297,82.96,115,124,43,20,Emergency,No,No,82,1.4,2020,-9
2020-03-27,Friday,March,Spring,257,213,82.88,110,114,32,12,Orthopedics,No,No,91,2.0,2020,-4
2020-03-28,Saturday,March,Spring,230,163,70.87,60,68,29,8,Maternity,No,No,85,3.5,2020,-8
2020-03-29,Sunday,March,Spring,450,301,66.89,65,50,20,6,Surgery,No,No,85,7.1,2020,15
2020-03-30,Monday,March,Spring,425,323,76.0,32,41,15,1,Orthopedics,No,No,93,2.3,2020,-9
2020-03-31,Tuesday,March,Spring,341,313,91.79,110,118,33,15,Emergency,No,No,86,1.7,2020,-8
2020-04-01,Wednesday,April,Spring,446,414,92.83,97,87,25,12,Orthopedics,No,No,80,5.4,2020,10
2020-04-02,Thursday,April,Spring,384,318,82.81,77,71,40,10,Cardiology,No,No,96,2.3,2020,6
2020-04-03,Friday,April,Spring,369,247,66.94,41,49,13,6,Cardiology,No,No,82,2.6,2020,-8
2020-04-04,Saturday,April,Spring,279,212,75.99,79,81,30,5,Pediatrics,No,No,99,5.8,2020,-2
2020-04-05,Sunday,April,Spring,369,239,64.77,48,52,24,7,Orthopedics,No,No,81,5.6,2020,-4
2020-04-06,Monday,April,Spring,360,280,77.78,115,115,41,12,Maternity,No,No,95,4.5,2020,0
2020-04-07,Tuesday,April,Spring,252,163,64.68,105,100,55,9,Orthopedics,No,No,83,3.9,2020,5
2020-04-08,Wednesday,April,Spring,272,225,82.72,69,77,34,5,Orthopedics,No,No,90,7.4,2020,-8
2020-04-09,Thursday,April,Spring,415,377,90.84,66,66,36,10,Pediatrics,No,No,90,3.5,2020,0
2020-04-10,Friday,April,Spring,328,288,87.8,78,72,26,14,Pediatrics,No,No,96,2.5,2020,6
2020-04-11,Saturday,April,Spring,369,280,75.88,90,78,24,15,General Medicine,No,No,84,6.1,2020,12
2020-04-12,Sunday,April,Spring,216,153,70.83,100,89,40,10,Surgery,No,No,99,7.1,2020,11
2020-04-13,Monday,April,Spring,232,211,90.95,40,42,15,2,Emergency,No,No,94,1.5,2020,-2
2020-04-14,Tuesday,April,Spring,259,227,87.64,45,44,17,4,Maternity,No,No,82,2.9,2020,1
2020-04-15,Wednesday,April,Spring,367,311,84.74,64,69,16,9,Cardiology,No,No,88,5.5,2020,-5
2020-04-16,Thursday,April,Spring,352,249,70.74,81,80,20,11,Maternity,No,No,99,2.1,2020,1
2020-04-17,Friday,April,Spring,328,272,82.93,86,81,26,12,Cardiology,No,No,96,4.1,2020,5
2020-04-18,Saturday,April,Spring,206,148,71.84,107,104,35,19,Emergency,No,No,89,0.8,2020,3
2020-04-19,Sunday,April,Spring,411,291,70.8,102,98,38,16,ICU,No,No,96,13.1,2020,4
2020-04-20,Monday,April,Spring,242,157,64.88,73,78,31,6,Surgery,No,No,90,6.3,2020,-5
2020-04-21,Tuesday,April,Spring,389,318,81.75,69,62,32,9,Cardiology,No,No,93,3.7,2020,7
2020-04-22,Wednesday,April,Spring,364,302,82.97,46,52,12,5,Cardiology,No,No,82,5.3,2020,-6
2020-04-23,Thursday,April,Spring,233,200,85.84,51,55,23,9,General Medicine,No,No,97,7.1,2020,-4
2020-04-24,Friday,April,Spring,189,156,82.54,93,89,39,9,General Medicine,No,No,91,6.4,2020,4
2020-04-25,Saturday,April,Spring,266,218,81.95,45,50,19,2,Cardiology,No,No,88,5.9,2020,-5
2020-04-26,Sunday,April,Spring,275,225,81.82,65,56,23,3,Surgery,No,No,97,6.5,2020,9
2020-04-27,Monday,April,Spring,424,356,83.96,82,74,24,13,Surgery,No,No,96,5.9,2020,8
2020-04-28,Tuesday,April,Spring,250,197,78.8,53,41,23,9,Pediatrics,No,No,81,3.5,2020,12
2020-04-29,Wednesday,April,Spring,323,297,91.95,84,70,37,6,Maternity,No,No,93,2.7,2020,14
2020-04-30,Thursday,April,Spring,235,164,69.79,100,110,44,16,Pediatrics,No,No,82,6.3,2020,-10
2020-05-01,Friday,May,Spring,261,198,75.86,79,89,34,6,Orthopedics,No,No,90,4.8,2020,-10
2020-05-02,Saturday,May,Spring,295,238,80.68,37,33,19,3,ICU,No,No,83,7.8,2020,4
2020-05-03,Sunday,May,Spring,215,180,83.72,82,70,35,11,ICU,No,No,100,6.9,2020,12
2020-05-04,Monday,May,Spring,270,210,77.78,78,64,38,7,General Medicine,No,No,91,4.3,2020,14
2020-05-05,Tuesday,May,Spring,333,263,78.98,86,72,24,4,General Medicine,No,No,98,4.8,2020,14
2020-05-06,Wednesday,May,Spring,256,197,76.95,56,58,14,8,Maternity,No,No,90,3.4,2020,-2
2020-05-07,Thursday,May,Spring,379,269,70.98,94,80,29,6,Emergency,No,No,97,2.4,2020,14
2020-05-08,Friday,May,Spring,369,350,94.85,62,58,32,4,Orthopedics,No,No,95,3.0,2020,4
2020-05-09,Saturday,May,Spring,303,218,71.95,102,96,55,17,Cardiology,No,No,96,3.5,2020,6
2020-05-10,Sunday,May,Spring,367,253,68.94,34,38,18,1,General Medicine,No,No,88,5.2,2020,-4
2020-05-11,Monday,May,Spring,341,255,74.78,50,44,25,8,Cardiology,No,No,88,2.3,2020,6
2020-05-12,Tuesday,May,Spring,339,230,67.85,69,78,24,8,Maternity,No,No,92,2.0,2020,-9
2020-05-13,Wednesday,May,Spring,379,272,71.77,55,62,19,7,Maternity,No,No,90,4.0,2020,-7
2020-05-14,Thursday,May,Spring,320,281,87.81,45,50,22,6,General Medicine,No,No,96,4.1,2020,-5
2020-05-15,Friday,May,Spring,408,367,89.95,42,48,10,5,Cardiology,No,No,87,3.7,2020,-6
2020-05-16,Saturday,May,Spring,374,310,82.89,115,115,38,14,Surgery,No,No,96,8.4,2020,0
2020-05-17,Sunday,May,Spring,398,290,72.86,30,40,9,5,Surgery,No,No,81,5.3,2020,-10
2020-05-18,Monday,May,Spring,380,338,88.95,94,100,40,4,Pediatrics,No,No,95,5.7,2020,-6
2020-05-19,Tuesday,May,Spring,214,190,88.79,39,26,13,5,Emergency,No,No,93,2.5,2020,13
2020-05-20,Wednesday,May,Spring,416,353,84.86,64,68,30,11,Pediatrics,No,No,89,5.1,2020,-4
2020-05-21,Thursday,May,Spring,326,264,80.98,50,59,15,2,Cardiology,No,No,89,3.5,2020,-9
2020-05-22,Friday,May,Spring,362,340,93.92,111,107,32,7,Pediatrics,No,Yes,88,2.9,2020,4
2020-05-23,Saturday,May,Spring,252,209,82.94,33,32,9,3,Cardiology,No,No,97,4.1,2020,1
2020-05-24,Sunday,May,Spring,419,372,88.78,113,121,52,8,Emergency,No,No,87,1.8,2020,-8
2020-05-25,Monday,May,Spring,306,290,94.77,69,55,21,6,Orthopedics,Yes,No,61,5.1,2020,14
2020-05-26,Tuesday,May,Spring,246,191,77.64,68,65,25,7,ICU,No,No,99,12.9,2020,3
2020-05-27,Wednesday,May,Spring,387,251,64.86,85,72,23,4,General Medicine,No,No,95,2.5,2020,13
2020-05-28,Thursday,May,Spring,277,224,80.87,46,48,24,3,Maternity,No,No,97,3.2,2020,-2
2020-05-29,Friday,May,Spring,199,179,89.95,35,39,10,2,General Medicine,No,No,90,4.5,2020,-4
2020-05-30,Saturday,May,Spring,192,132,68.75,26,12,6,2,Surgery,No,Yes,87,6.1,2020,14
2020-05-31,Sunday,May,Spring,289,248,85.81,26,35,7,1,Maternity,No,No,100,1.6,2020,-9
2020-06-01,Monday,June,Summer,355,315,88.73,88,94,33,9,Orthopedics,No,No,83,6.8,2020,-6
2020-06-02,Tuesday,June,Summer,389,272,69.92,92,94,37,12,Emergency,No,No,87,1.1,2020,-2
2020-06-03,Wednesday,June,Summer,182,171,93.96,111,109,39,6,Pediatrics,No,No,96,3.0,2020,2
2020-06-04,Thursday,June,Summer,281,241,85.77,100,96,50,12,Pediatrics,Yes,No,67,7.1,2020,4
2020-06-05,Friday,June,Summer,214,143,66.82,96,86,24,15,Orthopedics,No,No,91,4.6,2020,10
2020-06-06,Saturday,June,Summer,202,177,87.62,63,57,16,8,General Medicine,No,No,95,4.9,2020,6
2020-06-07,Sunday,June,Summer,282,222,78.72,78,69,22,14,ICU,No,Yes,86,10.2,2020,9
2020-06-08,Monday,June,Summer,271,184,67.9,54,42,26,4,Pediatrics,No,No,92,6.8,2020,12
2020-06-09,Tuesday,June,Summer,434,338,77.88,28,31,11,3,Pediatrics,No,No,82,3.3,2020,-3
2020-06-10,Wednesday,June,Summer,303,196,64.69,94,90,41,10,ICU,No,No,93,12.9,2020,4
2020-06-11,Thursday,June,Summer,347,326,93.95,46,54,12,6,Pediatrics,No,No,100,6.4,2020,-8
2020-06-12,Friday,June,Summer,359,301,83.84,43,44,21,6,Surgery,No,No,80,5.6,2020,-1
2020-06-13,Saturday,June,Summer,235,178,75.74,54,61,29,3,Orthopedics,No,No,94,4.9,2020,-7
2020-06-14,Sunday,June,Summer,323,248,76.78,34,23,15,2,Pediatrics,Yes,No,67,7.5,2020,11
2020-06-15,Monday,June,Summer,419,310,73.99,80,68,33,10,Emergency,No,No,80,1.7,2020,12
2020-06-16,Tuesday,June,Summer,272,252,92.65,97,97,53,12,ICU,No,No,81,7.9,2020,0
2020-06-17,Wednesday,June,Summer,370,277,74.86,110,96,54,19,Pediatrics,No,No,86,6.3,2020,14
2020-06-18,Thursday,June,Summer,285,262,91.93,51,51,25,4,Orthopedics,No,No,100,3.1,2020,0
2020-06-19,Friday,June,Summer,408,379,92.89,35,23,19,1,Surgery,No,No,81,7.6,2020,12
2020-06-20,Saturday,June,Summer,251,200,79.68,53,56,21,9,Cardiology,No,No,85,4.3,2020,-3
2020-06-21,Sunday,June,Summer,183,164,89.62,39,44,15,2,ICU,No,No,81,13.6,2020,-5
2020-06-22,Monday,June,Summer,190,140,73.68,109,113,47,19,Maternity,No,Yes,74,3.0,2020,-4
2020-06-23,Tuesday,June,Summer,401,372,92.77,88,79,28,14,Surgery,No,No,98,6.9,2020,9
2020-06-24,Wednesday,June,Summer,417,304,72.9,103,111,48,9,Orthopedics,No,No,83,7.2,2020,-8
2020-06-25,Thursday,June,Summer,396,352,88.89,35,41,14,6,General Medicine,No,No,91,5.8,2020,-6
2020-06-26,Friday,June,Summer,305,250,81.97,83,93,39,8,ICU,No,No,90,7.4,2020,-10
2020-06-27,Saturday,June,Summer,305,198,64.92,30,23,9,2,Emergency,No,No,94,1.6,2020,7
2020-06-28,Sunday,June,Summer,332,292,87.95,71,66,17,4,ICU,No,No,84,6.2,2020,5
2020-06-29,Monday,June,Summer,404,266,65.84,36,21,16,6,Maternity,No,No,83,2.9,2020,15
2020-06-30,Tuesday,June,Summer,371,326,87.87,46,54,25,3,Cardiology,No,No,89,7.4,2020,-8
2020-07-01,Wednesday,July,Summer,277,229,82.67,94,100,48,10,General Medicine,No,No,97,2.8,2020,-6
2020-07-02,Thursday,July,Summer,405,340,83.95,36,26,16,6,General Medicine,No,No,98,4.8,2020,10
2020-07-03,Friday,July,Summer,325,282,86.77,52,55,23,7,General Medicine,No,No,86,5.3,2020,-3
2020-07-04,Saturday,July,Summer,206,181,87.86,41,47,18,3,ICU,No,No,90,12.1,2020,-6
2020-07-05,Sunday,July,Summer,432,380,87.96,86,76,22,7,Cardiology,No,No,89,2.8,2020,10
2020-07-06,Monday,July,Summer,387,309,79.84,74,63,22,8,Surgery,No,No,98,8.4,2020,11
2020-07-07,Tuesday,July,Summer,213,146,68.54,76,65,21,13,Pediatrics,No,No,84,2.6,2020,11
2020-07-08,Wednesday,July,Summer,306,214,69.93,110,101,45,5,Pediatrics,No,Yes,90,6.0,2020,9
2020-07-09,Thursday,July,Summer,355,241,67.89,26,34,6,2,Pediatrics,No,No,83,3.3,2020,-8
2020-07-10,Friday,July,Summer,210,170,80.95,72,68,37,5,ICU,No,No,86,11.5,2020,4
2020-07-11,Saturday,July,Summer,400,280,70.0,28,20,9,4,Maternity,No,No,85,1.7,2020,8
2020-07-12,Sunday,July,Summer,227,199,87.67,31,33,9,3,Maternity,No,Yes,73,4.3,2020,-2
2020-07-13,Monday,July,Summer,381,342,89.76,39,40,19,6,Surgery,No,No,80,7.0,2020,-1
2020-07-14,Tuesday,July,Summer,273,245,89.74,55,52,28,8,Orthopedics,No,Yes,88,4.0,2020,3
2020-07-15,Wednesday,July,Summer,250,185,74.0,105,114,47,17,Pediatrics,No,No,98,3.9,2020,-9
2020-07-16,Thursday,July,Summer,427,328,76.81,76,68,21,5,Cardiology,No,No,91,2.3,2020,8
2020-07-17,Friday,July,Summer,389,291,74.81,78,85,26,5,Emergency,No,No,96,2.0,2020,-7
2020-07-18,Saturday,July,Summer,212,201,94.81,98,90,47,17,Pediatrics,No,No,89,2.5,2020,8
2020-07-19,Sunday,July,Summer,391,324,82.86,101,87,50,18,General Medicine,No,No,82,5.6,2020,14
2020-07-20,Monday,July,Summer,270,175,64.81,89,95,25,16,General Medicine,No,No,91,3.8,2020,-6
2020-07-21,Tuesday,July,Summer,181,133,73.48,55,60,13,7,ICU,No,No,94,13.5,2020,-5
2020-07-22,Wednesday,July,Summer,345,324,93.91,52,42,21,7,Surgery,No,Yes,85,6.0,2020,10
2020-07-23,Thursday,July,Summer,221,172,77.83,86,92,27,14,Cardiology,No,No,93,6.5,2020,-6
2020-07-24,Friday,July,Summer,410,278,67.8,25,35,8,3,General Medicine,No,No,95,4.3,2020,-10
2020-07-25,Saturday,July,Summer,186,152,81.72,68,77,35,9,Pediatrics,No,No,83,6.8,2020,-9
2020-07-26,Sunday,July,Summer,281,238,84.7,55,42,13,4,Emergency,No,No,93,1.8,2020,13
2020-07-27,Monday,July,Summer,381,300,78.74,107,116,41,11,ICU,No,No,80,13.1,2020,-9
2020-07-28,Tuesday,July,Summer,246,191,77.64,53,51,22,2,Emergency,No,No,98,2.3,2020,2
2020-07-29,Wednesday,July,Summer,230,202,87.83,100,104,39,14,ICU,No,No,99,9.5,2020,-4
2020-07-30,Thursday,July,Summer,390,296,75.9,79,80,41,5,Cardiology,No,No,99,2.5,2020,-1
2020-07-31,Friday,July,Summer,412,321,77.91,38,25,17,3,Surgery,No,No,88,5.9,2020,13
2020-08-01,Saturday,August,Summer,188,165,87.77,28,28,7,5,Emergency,No,No,97,2.4,2020,0
2020-08-02,Sunday,August,Summer,201,180,89.55,47,51,17,6,Maternity,No,No,97,2.7,2020,-4
2020-08-03,Monday,August,Summer,378,317,83.86,92,97,45,6,ICU,No,No,94,11.0,2020,-5
2020-08-04,Tuesday,August,Summer,441,401,90.93,63,66,26,11,Emergency,No,No,85,0.5,2020,-3
2020-08-05,Wednesday,August,Summer,207,161,77.78,103,88,35,15,Emergency,No,No,94,1.5,2020,15
2020-08-06,Thursday,August,Summer,430,326,75.81,58,62,30,9,Surgery,No,No,93,8.0,2020,-4
2020-08-07,Friday,August,Summer,190,150,78.95,102,112,44,11,ICU,No,No,97,7.1,2020,-10
2020-08-08,Saturday,August,Summer,315,283,89.84,56,42,19,4,Cardiology,No,No,89,4.5,2020,14
2020-08-09,Sunday,August,Summer,426,293,68.78,68,62,26,11,Surgery,No,No,85,5.7,2020,6
2020-08-10,Monday,August,Summer,254,226,88.98,75,60,24,9,General Medicine,No,No,84,2.8,2020,15
2020-08-11,Tuesday,August,Summer,389,272,69.92,33,34,11,4,Pediatrics,No,No,88,3.7,2020,-1
2020-08-12,Wednesday,August,Summer,266,215,80.83,37,26,15,3,General Medicine,No,No,82,2.2,2020,11
2020-08-13,Thursday,August,Summer,339,284,83.78,71,62,29,11,General Medicine,No,Yes,84,3.3,2020,9
2020-08-14,Friday,August,Summer,372,271,72.85,79,77,26,10,Emergency,No,No,93,0.6,2020,2
2020-08-15,Saturday,August,Summer,423,376,88.89,92,82,25,6,Emergency,No,No,95,2.1,2020,10
2020-08-16,Sunday,August,Summer,192,178,92.71,90,80,43,10,Pediatrics,No,No,88,2.1,2020,10
2020-08-17,Monday,August,Summer,405,319,78.77,81,85,44,9,Surgery,No,No,80,8.3,2020,-4
2020-08-18,Tuesday,August,Summer,405,332,81.98,102,89,47,17,ICU,No,No,91,6.7,2020,13
2020-08-19,Wednesday,August,Summer,387,267,68.99,58,48,18,4,General Medicine,No,No,89,5.2,2020,10
2020-08-20,Thursday,August,Summer,231,198,85.71,111,106,44,17,Emergency,No,No,86,0.6,2020,5
2020-08-21,Friday,August,Summer,181,137,75.69,53,63,20,8,Maternity,No,No,87,2.7,2020,-10
2020-08-22,Saturday,August,Summer,309,265,85.76,94,93,45,7,Cardiology,No,No,91,7.0,2020,1
2020-08-23,Sunday,August,Summer,432,311,71.99,85,78,24,10,Cardiology,No,No,97,7.1,2020,7
2020-08-24,Monday,August,Summer,206,164,79.61,84,90,44,15,Pediatrics,No,No,83,3.1,2020,-6
2020-08-25,Tuesday,August,Summer,322,283,87.89,94,80,35,9,Pediatrics,No,No,84,3.7,2020,14
2020-08-26,Wednesday,August,Summer,281,199,70.82,95,84,26,12,Maternity,No,No,95,2.4,2020,11
2020-08-27,Thursday,August,Summer,291,276,94.85,27,28,13,2,Surgery,No,No,89,7.3,2020,-1
2020-08-28,Friday,August,Summer,255,216,84.71,79,76,20,14,Surgery,No,No,93,8.6,2020,3
2020-08-29,Saturday,August,Summer,285,213,74.74,50,48,15,4,ICU,No,No,97,9.2,2020,2
2020-08-30,Sunday,August,Summer,433,376,86.84,28,18,11,4,Maternity,No,No,83,2.0,2020,10
2020-08-31,Monday,August,Summer,271,241,88.93,52,54,22,9,Surgery,No,No,81,6.8,2020,-2
2020-09-01,Tuesday,September,Autumn,290,249,85.86,31,17,9,4,Cardiology,No,No,93,3.2,2020,14
2020-09-02,Wednesday,September,Autumn,225,186,82.67,69,66,37,11,ICU,No,No,97,10.4,2020,3
2020-09-03,Thursday,September,Autumn,344,323,93.9,76,84,38,9,Maternity,No,No,87,1.9,2020,-8
2020-09-04,Friday,September,Autumn,243,201,82.72,93,94,41,4,Surgery,No,No,97,8.6,2020,-1
2020-09-05,Saturday,September,Autumn,396,376,94.95,107,103,53,10,Maternity,No,No,82,2.6,2020,4
