Date,Day of week,Month,Season,Total Hospital Beds,Beds Occupied,Occupancy Rate (%),Daily Admissions,Daily Discharges,Emergency Admissions,ICU Admissions,Department,Public Holiday Indicator,Special Event Indicator,Staff Availability,Average Length of Stay,Year,net_bed_change,Calculated Occupancy Rate (%),Month Number,Day,Day of Year,Week of Year,Quarter,Is Weekend,Holiday Flag,Special Event Flag,Department Encoded,Season Encoded,Day of Week,Day of Week Encoded,Lag Occupancy 1 Day,Lag Occupancy 7 Days,Rolling Occupancy 7 Days,Rolling Admissions 7 Days
2020-04-15,Wednesday,April,Spring,367,311,84.74,64,69,16,9,Cardiology,No,No,88,5.5,2020,-5,84.74,4,15,106,16,2,0,0,0,0,1,Wednesday,6,66.94,74.89,82.55,75.0
2020-04-16,Thursday,April,Spring,352,249,70.74,81,80,20,11,Maternity,No,No,99,2.1,2020,1,70.74,4,16,107,16,2,0,0,0,4,1,Thursday,4,87.64,92.82,72.80428571428571,62.42857142857143
2020-04-17,Friday,April,Spring,328,272,82.93,86,81,26,12,Cardiology,No,No,96,4.1,2020,5,82.93,4,17,108,16,2,0,0,0,0,1,Friday,0,84.74,93.68,81.01428571428572,73.28571428571429
2020-04-18,Saturday,April,Spring,206,148,71.84,107,104,35,19,Emergency,No,No,89,0.8,2020,3,71.84,4,18,109,16,2,1,0,0,1,1,Saturday,2,90.95,65.0,80.30857142857143,74.14285714285714
2020-04-19,Sunday,April,Spring,411,291,70.8,102,98,38,16,ICU,No,No,96,13.1,2020,4,70.8,4,19,110,16,2,1,0,0,3,1,Sunday,3,86.8,85.65,77.40857142857143,85.57142857142857
2020-04-20,Monday,April,Spring,242,157,64.88,73,78,31,6,Surgery,No,No,90,6.3,2020,-5,64.88,4,20,111,17,2,0,0,0,7,1,Monday,1,70.83,92.8,74.75857142857144,86.28571428571429
2020-04-21,Tuesday,April,Spring,389,318,81.75,69,62,32,9,Cardiology,No,No,93,3.7,2020,7,81.75,4,21,112,17,2,0,0,0,0,1,Tuesday,5,82.93,86.79,80.2942857142857,72.85714285714286
2020-04-22,Wednesday,April,Spring,364,302,82.97,46,52,12,5,Cardiology,No,No,82,5.3,2020,-6,82.97,4,22,113,17,2,0,0,0,0,1,Wednesday,6,81.75,86.98,79.72142857142856,67.57142857142857
2020-04-23,Thursday,April,Spring,233,200,85.84,51,55,23,9,General Medicine,No,No,97,7.1,2020,-4,85.84,4,23,114,17,2,0,0,0,2,1,Thursday,4,75.88,77.78,80.13571428571429,81.57142857142857
2020-04-24,Friday,April,Spring,189,156,82.54,93,89,39,9,General Medicine,No,No,91,6.4,2020,4,82.54,4,24,115,17,2,0,0,0,2,1,Friday,0,85.84,70.89,81.8,84.57142857142857
2020-04-25,Saturday,April,Spring,266,218,81.95,45,50,19,2,Cardiology,No,No,88,5.9,2020,-5,81.95,4,25,116,17,2,1,0,0,0,1,Saturday,2,82.97,75.91,80.58428571428571,61.142857142857146
2020-04-26,Sunday,April,Spring,275,225,81.82,65,56,23,3,Surgery,No,No,97,6.5,2020,9,81.82,4,26,117,17,2,1,0,0,7,1,Sunday,3,64.88,79.59,75.07714285714285,79.71428571428571
2020-04-27,Monday,April,Spring,424,356,83.96,82,74,24,13,Surgery,No,No,96,5.9,2020,8,83.96,4,27,118,18,2,0,0,0,7,1,Monday,1,81.82,92.59,73.8442857142857,80.71428571428571
2020-04-28,Tuesday,April,Spring,250,197,78.8,53,41,23,9,Pediatrics,No,No,81,3.5,2020,12,78.8,4,28,119,18,2,0,0,0,6,1,Tuesday,5,87.8,66.99,80.68857142857144,67.71428571428571
2020-04-29,Wednesday,April,Spring,323,297,91.95,84,70,37,6,Maternity,No,No,93,2.7,2020,14,91.95,4,29,120,18,2,0,0,0,4,1,Wednesday,6,70.74,67.0,76.36857142857143,63.0
2020-04-30,Thursday,April,Spring,235,164,69.79,100,110,44,16,Pediatrics,No,No,82,6.3,2020,-10,69.79,4,30,121,18,2,0,0,0,6,1,Thursday,4,78.8,85.79,78.40285714285714,77.14285714285714
2020-05-01,Friday,May,Spring,261,198,75.86,79,89,34,6,Orthopedics,No,No,90,4.8,2020,-10,75.86,5,1,122,18,2,0,0,0,5,1,Friday,0,82.72,68.9,77.10571428571428,77.14285714285714
2020-05-02,Saturday,May,Spring,295,238,80.68,37,33,19,3,ICU,No,No,83,7.8,2020,4,80.68,5,2,123,18,2,1,0,0,3,1,Saturday,2,70.8,83.99,76.93571428571428,77.57142857142857
2020-05-03,Sunday,May,Spring,215,180,83.72,82,70,35,11,ICU,No,No,100,6.9,2020,12,83.72,5,3,124,18,2,1,0,0,3,1,Sunday,3,80.68,71.86,78.63,77.14285714285714
2020-05-04,Monday,May,Spring,270,210,77.78,78,64,38,7,General Medicine,No,No,91,4.3,2020,14,77.78,5,4,125,19,2,0,0,0,2,1,Monday,1,82.54,86.9,80.49714285714286,81.57142857142857
2020-05-05,Tuesday,May,Spring,333,263,78.98,86,72,24,4,General Medicine,No,No,98,4.8,2020,14,78.98,5,5,126,19,2,0,0,0,2,1,Tuesday,5,77.78,77.78,80.66857142857144,77.42857142857143
2020-05-06,Wednesday,May,Spring,256,197,76.95,56,58,14,8,Maternity,No,No,90,3.4,2020,-2,76.95,5,6,127,19,2,0,0,0,4,1,Wednesday,6,91.95,64.91,78.08857142857143,67.42857142857143
2020-05-07,Thursday,May,Spring,379,269,70.98,94,80,29,6,Emergency,No,No,97,2.4,2020,14,70.98,5,7,128,19,2,0,0,0,1,1,Thursday,4,71.84,79.89,79.03571428571429,78.85714285714286
2020-05-08,Friday,May,Spring,369,350,94.85,62,58,32,4,Orthopedics,No,No,95,3.0,2020,4,94.85,5,8,129,19,2,0,0,0,5,1,Friday,0,75.86,82.88,78.8157142857143,70.28571428571429
2020-05-09,Saturday,May,Spring,303,218,71.95,102,96,55,17,Cardiology,No,No,96,3.5,2020,6,71.95,5,9,130,19,2,1,0,0,0,1,Saturday,2,81.95,82.81,79.03285714285714,64.71428571428571
2020-05-10,Sunday,May,Spring,367,253,68.94,34,38,18,1,General Medicine,No,No,88,5.2,2020,-4,68.94,5,10,131,19,2,1,0,0,2,1,Sunday,3,78.98,73.84,79.96857142857142,72.85714285714286
2020-05-11,Monday,May,Spring,341,255,74.78,50,44,25,8,Cardiology,No,No,88,2.3,2020,6,74.78,5,11,132,20,2,0,0,0,0,1,Monday,1,71.95,66.94,80.15285714285714,66.0
2020-05-12,Tuesday,May,Spring,339,230,67.85,69,78,24,8,Maternity,No,No,92,2.0,2020,-9,67.85,5,12,133,20,2,0,0,0,4,1,Tuesday,5,76.95,70.69,77.68285714285715,72.85714285714286
2020-05-13,Wednesday,May,Spring,379,272,71.77,55,62,19,7,Maternity,No,No,90,4.0,2020,-7,71.77,5,13,134,20,2,0,0,0,4,1,Wednesday,6,67.85,70.87,77.81142857142856,72.14285714285714
2020-05-14,Thursday,May,Spring,320,281,87.81,45,50,22,6,General Medicine,No,No,96,4.1,2020,-5,87.81,5,14,135,20,2,0,0,0,2,1,Thursday,4,68.94,89.82,79.68142857142857,68.14285714285714
2020-05-15,Friday,May,Spring,408,367,89.95,42,48,10,5,Cardiology,No,No,87,3.7,2020,-6,89.95,5,15,136,20,2,0,0,0,0,1,Friday,0,74.78,84.74,80.89714285714285,62.857142857142854
2020-05-16,Saturday,May,Spring,374,310,82.89,115,115,38,14,Surgery,No,No,96,8.4,2020,0,82.89,5,16,137,20,2,1,0,0,7,1,Saturday,2,83.96,77.86,74.56285714285714,85.28571428571429
2020-05-17,Sunday,May,Spring,398,290,72.86,30,40,9,5,Surgery,No,No,81,5.3,2020,-10,72.86,5,17,138,20,2,1,0,0,7,1,Sunday,3,82.89,70.67,74.87571428571428,75.71428571428571
2020-05-18,Monday,May,Spring,380,338,88.95,94,100,40,4,Pediatrics,No,No,95,5.7,2020,-6,88.95,5,18,139,21,2,0,0,0,6,1,Monday,1,69.79,76.79,80.14,83.42857142857143
2020-05-19,Tuesday,May,Spring,214,190,88.79,39,26,13,5,Emergency,No,No,93,2.5,2020,13,88.79,5,19,140,21,2,0,0,0,1,1,Tuesday,5,70.98,77.95,80.58428571428571,77.71428571428571
2020-05-20,Wednesday,May,Spring,416,353,84.86,64,68,30,11,Pediatrics,No,No,89,5.1,2020,-4,84.86,5,20,141,21,2,0,0,0,6,1,Wednesday,6,88.95,68.81,82.43285714285715,76.28571428571429
2020-05-21,Thursday,May,Spring,326,264,80.98,50,59,15,2,Cardiology,No,No,89,3.5,2020,-9,80.98,5,21,142,21,2,0,0,0,0,1,Thursday,4,89.95,82.93,80.61857142857143,57.714285714285715
2020-05-22,Friday,May,Spring,362,340,93.92,111,107,32,7,Pediatrics,No,Yes,88,2.9,2020,4,93.92,5,22,143,21,2,0,0,1,6,1,Friday,0,84.86,75.99,84.99428571428572,80.85714285714286
2020-05-23,Saturday,May,Spring,252,209,82.94,33,32,9,3,Cardiology,No,No,97,4.1,2020,1,82.94,5,23,144,21,2,1,0,0,0,1,Saturday,2,80.98,81.75,80.78857142857143,52.57142857142857
2020-05-24,Sunday,May,Spring,419,372,88.78,113,121,52,8,Emergency,No,No,87,1.8,2020,-8,88.78,5,24,145,21,2,1,0,0,1,1,Sunday,3,88.79,66.78,83.72714285714287,88.28571428571429
2020-05-25,Monday,May,Spring,306,290,94.77,69,55,21,6,Orthopedics,Yes,No,61,5.1,2020,14,94.77,5,25,146,22,2,0,1,0,5,1,Monday,1,94.85,76.0,81.49714285714286,75.57142857142857
2020-05-26,Tuesday,May,Spring,246,191,77.64,68,65,25,7,ICU,No,No,99,12.9,2020,3,77.64,5,26,147,22,2,0,0,0,3,1,Tuesday,5,83.72,91.91,76.59142857142857,71.0
2020-05-27,Wednesday,May,Spring,387,251,64.86,85,72,23,4,General Medicine,No,No,95,2.5,2020,13,64.86,5,27,148,22,2,0,0,0,2,1,Wednesday,6,87.81,75.88,78.10714285714286,67.42857142857143
2020-05-28,Thursday,May,Spring,277,224,80.87,46,48,24,3,Maternity,No,No,97,3.2,2020,-2,80.87,5,28,149,22,2,0,0,0,4,1,Thursday,4,71.77,77.78,78.25285714285714,62.285714285714285
2020-05-29,Friday,May,Spring,199,179,89.95,35,39,10,2,General Medicine,No,No,90,4.5,2020,-4,89.95,5,29,150,22,2,0,0,0,2,1,Friday,0,64.86,85.84,78.69428571428571,65.14285714285714
2020-05-30,Saturday,May,Spring,192,132,68.75,26,12,6,2,Surgery,No,Yes,87,6.1,2020,14,68.75,5,30,151,22,2,1,0,1,7,1,Saturday,2,72.86,66.89,75.14142857142858,70.14285714285714
2020-05-31,Sunday,May,Spring,289,248,85.81,26,35,7,1,Maternity,No,No,100,1.6,2020,-9,85.81,5,31,152,22,2,1,0,0,4,1,Sunday,3,80.87,87.64,77.99142857142859,59.57142857142857
2020-06-01,Monday,June,Summer,355,315,88.73,88,94,33,9,Orthopedics,No,No,83,6.8,2020,-6,88.73,6,1,153,23,2,0,0,0,5,2,Monday,1,94.77,92.83,80.91142857142857,74.28571428571429
2020-06-02,Tuesday,June,Summer,389,272,69.92,92,94,37,12,Emergency,No,No,87,1.1,2020,-2,69.92,6,2,154,23,2,0,0,0,1,2,Tuesday,5,88.78,82.96,81.86428571428573,85.0
2020-06-03,Wednesday,June,Summer,182,171,93.96,111,109,39,6,Pediatrics,No,No,96,3.0,2020,2,93.96,6,3,155,23,2,0,0,0,6,2,Wednesday,6,93.92,90.84,85.44000000000001,87.28571428571429
2020-06-04,Thursday,June,Summer,281,241,85.77,100,96,50,12,Pediatrics,Yes,No,67,7.1,2020,4,85.77,6,4,156,23,2,0,1,0,6,2,Thursday,4,93.96,87.8,85.14999999999999,90.42857142857143
2020-06-05,Friday,June,Summer,214,143,66.82,96,86,24,15,Orthopedics,No,No,91,4.6,2020,10,66.82,6,5,157,23,2,0,0,0,5,2,Friday,0,88.73,64.77,81.20428571428572,81.14285714285714
2020-06-06,Saturday,June,Summer,202,177,87.62,63,57,16,8,General Medicine,No,No,95,4.9,2020,6,87.62,6,6,158,23,2,1,0,0,2,2,Saturday,2,89.95,82.54,79.42,60.857142857142854
2020-06-07,Sunday,June,Summer,282,222,78.72,78,69,22,14,ICU,No,Yes,86,10.2,2020,9,78.72,6,7,159,23,2,1,0,1,3,2,Sunday,3,77.64,71.58,77.61142857142856,73.42857142857143
2020-06-08,Monday,June,Summer,271,184,67.9,54,42,26,4,Pediatrics,No,No,92,6.8,2020,12,67.9,6,8,160,24,2,0,0,0,6,2,Monday,1,85.77,78.8,83.59285714285716,90.57142857142857
2020-06-09,Tuesday,June,Summer,434,338,77.88,28,31,11,3,Pediatrics,No,No,82,3.3,2020,-3,77.88,6,9,161,24,2,0,0,0,6,2,Tuesday,5,67.9,69.79,84.74857142857142,80.28571428571429
2020-06-10,Wednesday,June,Summer,303,196,64.69,94,90,41,10,ICU,No,No,93,12.9,2020,4,64.69,6,10,162,24,2,0,0,0,3,2,Wednesday,6,78.72,64.92,77.57857142857142,76.42857142857143
2020-06-11,Thursday,June,Summer,347,326,93.95,46,54,12,6,Pediatrics,No,No,100,6.4,2020,-8,93.95,6,11,163,24,2,0,0,0,6,2,Thursday,4,77.88,88.95,85.46285714285715,73.42857142857143
2020-06-12,Friday,June,Summer,359,301,83.84,43,44,21,6,Surgery,No,No,80,5.6,2020,-1,83.84,6,12,164,24,2,0,0,0,7,2,Friday,0,68.75,70.83,77.0,62.0
2020-06-13,Saturday,June,Summer,235,178,75.74,54,61,29,3,Orthopedics,No,No,94,4.9,2020,-7,75.74,6,13,165,24,2,1,0,0,5,2,Saturday,2,66.82,64.68,82.78428571428572,73.85714285714286
2020-06-14,Sunday,June,Summer,323,248,76.78,34,23,15,2,Pediatrics,Yes,No,67,7.5,2020,11,76.78,6,14,166,24,2,1,1,0,6,2,Sunday,3,93.95,84.86,84.30857142857143,69.14285714285714
2020-06-15,Monday,June,Summer,419,310,73.99,80,68,33,10,Emergency,No,No,80,1.7,2020,12,73.99,6,15,167,25,2,0,0,0,1,2,Monday,1,69.92,91.79,79.32142857142857,80.71428571428571
2020-06-16,Tuesday,June,Summer,272,252,92.65,97,97,53,12,ICU,No,No,81,7.9,2020,0,92.65,6,16,168,25,2,0,0,0,3,2,Tuesday,5,64.69,86.8,78.41428571428571,79.71428571428571
2020-06-17,Wednesday,June,Summer,370,277,74.86,110,96,54,19,Pediatrics,No,No,86,6.3,2020,14,74.86,6,17,169,25,2,0,0,0,6,2,Wednesday,6,76.78,93.92,81.58571428571429,69.0
2020-06-18,Thursday,June,Summer,285,262,91.93,51,51,25,4,Orthopedics,No,No,100,3.1,2020,0,91.93,6,18,170,25,2,0,0,0,5,2,Thursday,4,75.74,82.72,84.10000000000001,71.28571428571429
2020-06-19,Friday,June,Summer,408,379,92.89,35,23,19,1,Surgery,No,No,81,7.6,2020,12,92.89,6,19,171,25,2,0,0,0,7,2,Friday,0,83.84,64.88,81.00142857142858,56.57142857142857
2020-06-20,Saturday,June,Summer,251,200,79.68,53,56,21,9,Cardiology,No,No,85,4.3,2020,-3,79.68,6,20,172,25,2,1,0,0,0,2,Saturday,2,82.94,82.97,80.31857142857143,53.57142857142857
2020-06-21,Sunday,June,Summer,183,164,89.62,39,44,15,2,ICU,No,No,81,13.6,2020,-5,89.62,6,21,173,25,2,1,0,0,3,2,Sunday,3,92.65,70.8,81.10285714285715,70.71428571428571
2020-06-22,Monday,June,Summer,190,140,73.68,109,113,47,19,Maternity,No,Yes,74,3.0,2020,-4,73.68,6,22,174,26,2,0,0,1,4,2,Monday,1,85.81,70.74,78.41142857142857,63.57142857142857
2020-06-23,Tuesday,June,Summer,401,372,92.77,88,79,28,14,Surgery,No,No,98,6.9,2020,9,92.77,6,23,175,26,2,0,0,0,7,2,Tuesday,5,92.89,81.82,82.5657142857143,59.857142857142854
2020-06-24,Wednesday,June,Summer,417,304,72.9,103,111,48,9,Orthopedics,No,No,83,7.2,2020,-8,72.9,6,24,176,26,2,0,0,0,5,2,Wednesday,6,91.93,75.86,83.67714285714285,74.71428571428571
2020-06-25,Thursday,June,Summer,396,352,88.89,35,41,14,6,General Medicine,No,No,91,5.8,2020,-6,88.89,6,25,177,26,2,0,0,0,2,2,Thursday,4,87.62,77.78,81.00714285714285,54.714285714285715
2020-06-26,Friday,June,Summer,305,250,81.97,83,93,39,8,ICU,No,No,90,7.4,2020,-10,81.97,6,26,178,26,2,0,0,0,3,2,Friday,0,89.62,80.68,81.28714285714285,77.28571428571429
